id,age,employer_type,highest_education_completed,marital_status,occupation_code,race_code,gender,capital_gains,capital_losses,hours_worked_per_week,native_country_code,salary_greater_than_100k
117,30,non_government,associates_degree_vocational, married,2,3,0,0,0,40,20,0
118,19,non_government,high_school,never_married,3,0,0,0,0,25,20,0
119,39,non_government,high_school, married,10,3,1,8817,0,40,20,0
120,23,non_government,some_college,never_married,3,3,0,0,0,30,20,0
121,44,non_government,masters_degree, married,0,3,0,0,0,24,20,1
122,24,non_government,bachelors_degree, married,1,3,1,0,0,40,20,0
123,46,non_government,some_college, married,6,1,1,0,0,40,9,0
124,45,self_employed_not_incorporated,high_school, married,0,3,1,0,0,50,20,0
125,31,self_employed_not_incorporated,doctoral_degree, married,1,3,1,0,0,40,20,1
126,46,government_federal,high_school,never_married,4,3,1,0,0,40,20,0
127,38,non_government,associates_degree_vocational, divorced,7,3,0,0,0,30,20,0
128,42,non_government,some_college, married,3,3,1,0,0,40,20,0
129,38,non_government,high_school,never_married,6,3,1,0,0,36,20,0
130,20,non_government,some_college,never_married,3,3,0,0,0,28,20,0
131,35,self_employed_incorporated,masters_degree, married,1,1,1,0,0,40,9,1
132,51,non_government,associates_degree_vocational, married,0,3,1,0,0,50,20,1
133,37,non_government,some_college, married,6,3,1,0,0,65,20,0
134,37,non_government,bachelors_degree, married,3,3,1,0,0,50,20,0
135,22,non_government,some_college,never_married,7,3,1,0,0,32,20,1
136,36,government_state,high_school, married,0,3,1,0,0,40,20,0
137,57,non_government,high_school, widowed,0,3,0,0,0,45,20,0
138,30,government_state,bachelors_degree, married,1,1,1,0,0,40,9,1
139,43,non_government,some_college, married,0,3,1,0,0,49,20,1
140,41,non_government,some_college,never_married,0,3,1,0,0,50,20,0
141,45,non_government,high_school,never_married,4,3,1,0,0,40,20,0
142,55,non_government,high_school, widowed,7,3,0,6520,0,35,11,0
143,24,non_government,some_college,never_married,4,3,1,0,0,39,20,0
144,38,non_government,high_school, divorced,6,0,1,0,0,50,20,0
145,35,government_local,associates_degree_academic, married,9,3,1,0,0,52,20,0
146,25,non_government,some_college,never_married,7,3,0,0,0,35,20,0
147,28,non_government,bachelors_degree,never_married,1,3,1,0,0,45,20,0
148,29,self_employed_incorporated,bachelors_degree, married,3,3,1,0,0,50,20,1
149,44,non_government,some_college, married,7,3,0,0,0,40,20,1
150,39,non_government,some_college,never_married,2,3,1,0,0,40,20,0
151,38,self_employed_incorporated,bachelors_degree,never_married,6,3,0,0,0,20,20,0
152,26,non_government,bachelors_degree,never_married,2,1,0,0,0,40,25,0
153,37,non_government,bachelors_degree, divorced,0,3,1,0,0,40,20,0
154,38,government_local,masters_degree,never_married,1,3,0,0,7137,60,20,0
155,34,non_government,high_school, divorced,6,3,1,0,0,40,20,0
156,19,non_government,some_college,never_married,12,3,0,0,0,40,20,0
157,49,self_employed_incorporated,some_college, married,0,3,1,47520,0,50,20,1
158,42,self_employed_incorporated,bachelors_degree, married,0,3,1,0,0,70,20,0
159,57,government_federal,some_college, married,0,3,1,0,0,40,20,1
160,47,government_local,some_college, married,9,3,1,0,0,50,20,0
161,36,self_employed_not_incorporated,professional_degree, married,6,3,1,0,0,60,20,0
162,39,non_government,professional_degree, divorced,1,3,1,0,0,70,20,1
163,40,government_local,high_school, married,11,2,1,0,0,40,20,0
164,44,non_government,some_college, divorced,3,3,0,0,3994,46,20,0
165,35,government_local,some_college, separated,2,0,0,0,0,40,20,0
166,26,non_government,associates_degree_vocational, divorced,2,3,0,0,0,55,20,0
167,31,government_local,bachelors_degree,never_married,6,3,1,24911,0,40,20,1
168,48,government_local,high_school, married,5,3,0,0,5560,40,20,1
169,19,non_government,high_school,never_married,3,1,0,0,0,40,20,0
170,43,non_government,bachelors_degree, married,2,3,1,0,0,40,20,1
171,32,non_government,high_school,never_married,6,3,1,0,0,40,20,0
172,47,non_government,bachelors_degree, married,5,3,1,47265,0,40,20,1
173,36,self_employed_incorporated,associates_degree_academic, separated,0,3,1,0,0,50,20,0
174,36,non_government,high_school, married,3,3,1,0,0,50,20,0
175,32,non_government,some_college, married,3,2,1,0,0,65,20,0
176,43,non_government,associates_degree_vocational, married,6,3,1,0,0,99,20,0
177,45,non_government,some_college, divorced,6,3,1,0,0,40,20,0
178,26,non_government,masters_degree,never_married,0,3,1,0,0,38,20,0
179,44,non_government,bachelors_degree,never_married,5,3,1,0,0,35,20,0
180,21,non_government,some_college,never_married,8,3,1,0,0,30,20,0
181,51,non_government,high_school, married,8,3,1,0,0,40,20,0
182,61,government_local,masters_degree,never_married,1,3,0,0,0,25,20,0
183,66,self_employed_incorporated,bachelors_degree, married,0,3,1,0,0,70,20,0
184,40,non_government,bachelors_degree, married,3,3,1,0,0,45,20,1
185,61,self_employed_not_incorporated,bachelors_degree, married,8,3,1,0,0,60,20,0
186,47,non_government,professional_degree, married,3,3,1,0,0,45,20,1
187,45,government_state,bachelors_degree, married,0,3,1,0,5774,60,20,1
188,36,non_government,some_college, divorced,6,3,1,0,0,40,20,0
189,27,non_government,some_college, divorced,0,3,0,0,0,40,20,0
190,38,non_government,high_school, separated,9,2,1,0,0,40,20,0
191,50,non_government,some_college, married,3,1,1,0,0,50,20,1
192,38,non_government,high_school, divorced,6,3,1,0,0,40,20,0
193,27,non_government,high_school, married,4,3,1,0,0,40,20,0
194,32,government_state,some_college,never_married,5,2,0,0,0,20,20,0
195,38,non_government,high_school, married,7,3,0,0,0,25,20,0
196,51,non_government,associates_degree_vocational, married,3,3,1,0,0,40,20,1
197,52,non_government,masters_degree, divorced,1,3,0,20944,0,60,20,0
198,34,non_government,some_college,never_married,7,3,0,0,0,40,20,0
199,36,non_government,some_college, married,6,3,1,0,0,40,20,0
200,49,government_local,masters_degree, married,0,2,1,0,0,47,20,1
201,46,non_government,bachelors_degree, divorced,1,3,1,0,0,45,20,1
202,20,non_government,some_college,never_married,3,3,0,0,0,30,20,0
203,34,non_government,associates_degree_vocational, divorced,6,3,1,0,0,40,20,0
204,27,non_government,some_college,never_married,3,3,1,0,0,35,20,0
205,26,non_government,some_college,never_married,4,3,1,0,0,40,20,0
206,49,non_government,some_college, married,7,3,1,0,0,40,20,0
207,32,non_government,high_school, married,0,3,1,0,0,40,34,0
208,35,self_employed_not_incorporated,high_school, married,0,3,1,0,0,40,20,0
209,21,non_government,some_college,never_married,2,3,1,0,0,50,20,0
210,54,government_state,high_school, separated,2,2,0,11423,0,35,20,0
211,31,non_government,bachelors_degree, married,3,3,1,0,0,55,20,0
212,40,government_local,high_school,never_married,9,3,1,0,0,42,20,0
213,30,non_government,some_college,never_married,4,3,0,0,0,40,20,0
214,29,non_government,associates_degree_academic, divorced,3,3,0,9686,0,40,20,0
215,26,non_government,some_college,never_married,3,3,1,0,0,42,20,0
216,34,non_government,some_college, married,0,3,1,0,0,50,20,1
217,46,non_government,masters_degree, married,0,3,1,0,0,50,20,1
218,23,non_government,some_college,never_married,0,3,1,0,0,40,20,0
219,44,non_government,high_school,never_married,2,3,1,0,4382,50,20,0
220,19,non_government,some_college,never_married,2,3,0,0,0,38,20,0
221,31,non_government,some_college, divorced,6,3,0,0,0,20,20,0
222,55,self_employed_not_incorporated,high_school, married,6,3,1,0,0,20,20,0
223,39,non_government,high_school, married,10,3,1,0,0,40,20,0
224,44,government_local,high_school, divorced,6,2,1,0,0,40,20,0
225,24,non_government,high_school, divorced,3,0,0,0,0,48,20,0
226,44,non_government,some_college,never_married,3,3,1,0,0,50,20,0
227,32,non_government,some_college, married,5,3,1,0,0,45,20,0
228,28,non_government,high_school,never_married,8,3,1,0,0,60,20,0
229,31,government_local,bachelors_degree, married,7,3,1,0,0,38,20,1
230,39,non_government,some_college, divorced,0,3,0,24145,0,40,20,1
231,64,non_government,high_school, married,4,3,1,0,0,18,20,0
232,28,non_government,some_college,never_married,6,3,1,0,0,30,20,0
233,40,non_government,some_college, married,10,3,1,8142,0,40,20,0
234,41,non_government,professional_degree, married,1,3,0,0,0,40,20,1
235,48,non_government,high_school,never_married,0,3,0,0,0,50,20,0
236,31,non_government,high_school, married,6,3,1,0,0,50,20,0
237,23,non_government,high_school, married,3,3,1,0,0,80,20,0
238,30,non_government,associates_degree_academic, divorced,2,3,0,0,5247,40,20,0
239,47,non_government,some_college, married,1,3,1,23471,0,40,20,1
240,70,non_government,some_college, divorced,11,1,1,0,0,40,21,0
241,37,government_local,bachelors_degree, married,1,3,0,0,0,50,20,1
242,56,government_federal,some_college, divorced,2,2,0,0,0,40,20,0
243,38,non_government,some_college,never_married,11,3,1,0,0,60,20,0
244,35,self_employed_not_incorporated,some_college, married,7,3,1,0,0,40,20,0
245,34,non_government,bachelors_degree, married,0,3,1,24586,0,40,20,1
246,27,non_government,some_college, separated,3,3,1,0,0,40,20,0
247,30,non_government,bachelors_degree,never_married,10,3,1,0,0,25,20,0
248,26,non_government,associates_degree_academic,never_married,1,3,0,0,0,36,20,0
249,45,non_government,bachelors_degree, married,10,3,1,0,0,40,20,1
250,47,non_government,bachelors_degree,never_married,0,3,1,0,0,50,20,0
251,41,non_government,bachelors_degree, married,3,3,1,0,0,40,20,0
252,26,non_government,some_college,never_married,8,2,1,6500,0,75,20,0
253,28,non_government,high_school, separated,3,3,0,0,0,40,20,0
254,27,self_employed_not_incorporated,some_college, married,7,3,0,0,0,50,20,0
255,40,non_government,high_school, divorced,2,2,1,0,0,40,20,0
256,24,non_government,high_school,never_married,2,3,0,0,0,40,20,0
257,65,non_government,high_school, widowed,2,3,0,0,0,40,20,0
258,23,non_government,bachelors_degree,never_married,0,3,0,0,0,35,22,0
259,27,non_government,associates_degree_academic, married,2,2,0,0,0,25,20,0
260,38,non_government,some_college, married,0,2,1,0,0,50,20,0
261,23,non_government,associates_degree_academic,never_married,3,3,0,0,0,65,20,0
262,35,non_government,some_college, married,6,3,1,0,0,45,20,0
263,20,government_state,some_college,never_married,11,3,1,0,0,40,20,0
264,77,self_employed_not_incorporated,some_college, married,3,3,1,0,0,40,20,0
265,31,government_local,bachelors_degree, married,1,3,1,0,0,40,20,0
266,37,non_government,high_school, married,4,3,0,0,0,40,20,1
267,40,self_employed_not_incorporated,high_school, married,7,3,1,0,0,45,20,0
268,22,non_government,associates_degree_vocational,never_married,6,3,1,0,0,30,20,0
269,45,self_employed_not_incorporated,bachelors_degree, married,1,3,1,0,0,30,20,0
270,33,non_government,high_school, divorced,8,3,0,0,0,40,20,0
271,33,government_local,bachelors_degree,never_married,1,0,1,0,0,60,20,0
272,61,non_government,high_school, married,3,3,1,0,0,40,20,0
273,25,non_government,high_school,never_married,7,2,0,0,0,35,20,0
274,37,non_government,bachelors_degree,never_married,2,3,0,0,0,40,20,0
275,36,government_local,associates_degree_vocational,never_married,9,2,0,0,0,60,20,1
276,36,non_government,high_school, divorced,11,3,1,0,0,40,20,0
277,31,non_government,bachelors_degree, married,5,1,1,0,0,40,20,1
278,49,non_government,some_college, married,6,3,1,0,4668,40,20,1
279,37,non_government,high_school, married,6,3,1,0,0,35,20,0
280,41,non_government,high_school, divorced,9,3,1,0,0,40,20,0
281,53,non_government,high_school, widowed,3,3,0,0,0,30,20,0
282,27,self_employed_not_incorporated,high_school,never_married,9,3,1,0,0,30,20,0
283,26,non_government,some_college,never_married,2,2,0,0,0,40,20,0
284,24,non_government,high_school, married,11,3,1,0,0,50,20,0
285,31,non_government,bachelors_degree, widowed,3,3,0,0,4048,40,3,0
286,35,non_government,bachelors_degree, married,0,3,1,0,0,50,20,1
287,22,non_government,high_school,never_married,5,3,0,0,0,40,20,0
288,38,non_government,high_school, divorced,0,3,1,0,0,40,20,0
289,25,non_government,bachelors_degree, married,0,3,0,0,0,40,20,0
290,45,non_government,high_school, married,8,2,1,0,0,24,20,0
291,38,government_state,bachelors_degree, married,0,3,1,0,0,37,20,0
292,31,non_government,bachelors_degree, divorced,0,3,0,0,0,50,20,1
293,18,non_government,high_school,never_married,8,3,1,3294,0,25,20,0
294,37,government_state,high_school, separated,6,3,1,0,0,44,20,0
295,26,non_government,professional_degree, married,1,3,1,0,5555,40,20,1
296,21,non_government,high_school,never_married,11,3,1,0,0,24,20,0
297,59,self_employed_not_incorporated,bachelors_degree, married,3,3,1,43254,0,55,20,1
298,51,government_local,high_school, married,2,3,0,0,0,40,20,0
299,21,non_government,some_college,never_married,5,3,1,0,0,35,20,0
300,28,government_local,some_college, married,9,3,1,0,0,48,20,0
301,20,non_government,some_college,never_married,11,3,1,0,0,60,20,0
302,42,non_government,bachelors_degree, married,1,1,0,0,0,27,30,1
303,33,non_government,associates_degree_academic, married,1,3,0,0,0,40,20,0
304,31,self_employed_incorporated,high_school, married,0,3,1,0,0,40,20,0
305,56,self_employed_not_incorporated,high_school, married,6,3,1,0,0,55,20,0
306,43,non_government,some_college, married,1,3,0,0,5555,50,20,1
307,25,non_government,associates_degree_academic,never_married,6,3,1,0,0,30,20,0
308,23,non_government,bachelors_degree,never_married,1,3,0,0,0,21,20,0
309,18,non_government,high_school,never_married,10,3,1,0,0,37,20,0
310,40,government_federal,associates_degree_vocational, married,1,3,0,0,0,65,20,1
311,56,non_government,high_school, divorced,2,3,0,0,0,40,20,0
312,42,non_government,high_school, married,2,3,1,0,0,45,20,0
313,31,non_government,high_school,never_married,2,3,0,0,0,50,20,0
314,25,government_local,some_college,never_married,2,2,0,0,0,35,20,0
315,37,non_government,high_school, divorced,2,3,0,0,0,40,20,0
316,68,non_government,some_college, divorced,3,3,0,0,0,40,20,0
317,19,non_government,some_college,never_married,7,3,0,0,0,25,20,0
318,24,non_government,high_school, married,10,3,0,0,0,24,20,0
319,47,self_employed_not_incorporated,bachelors_degree, married,0,3,1,0,0,60,20,0
320,29,non_government,some_college,never_married,6,3,1,0,0,45,20,0
321,36,non_government,high_school, divorced,4,3,0,0,0,37,20,0
322,28,non_government,some_college,never_married,2,2,0,0,0,40,20,0
323,67,non_government,some_college, divorced,2,3,1,23910,0,35,20,0
324,37,government_state,some_college, divorced,7,3,1,0,0,65,20,0
325,48,government_local,bachelors_degree, married,2,1,0,0,0,40,15,0
326,30,non_government,high_school, married,2,3,1,0,0,44,20,0
327,37,non_government,some_college, married,6,3,1,0,0,40,20,0
328,43,self_employed_incorporated,bachelors_degree, married,3,1,1,0,0,45,9,0
329,24,non_government,high_school,never_married,7,3,0,0,0,35,20,0
330,52,government_state,some_college, married,5,3,1,0,0,50,20,0
331,35,non_government,some_college, married,3,3,1,15831,0,70,20,0
332,64,self_employed_not_incorporated,bachelors_degree, married,1,3,1,0,0,24,20,1
333,67,non_government,high_school, married,2,3,1,0,0,35,20,0
334,32,non_government,high_school,never_married,4,3,0,0,0,45,20,0
335,47,non_government,high_school, divorced,2,3,0,0,0,40,20,0
336,26,non_government,high_school, separated,6,2,0,0,5057,40,20,0
337,51,non_government,some_college, married,0,3,1,0,0,45,20,1
338,59,non_government,some_college, divorced,7,3,1,0,0,40,20,0
339,51,government_local,associates_degree_academic, married,1,3,1,0,0,60,20,0
340,22,non_government,high_school,never_married,7,3,0,0,0,40,20,0
341,45,non_government,some_college, divorced,0,3,0,0,0,40,20,0
342,29,non_government,high_school, married,11,3,1,0,0,60,20,0
343,24,non_government,bachelors_degree,never_married,3,3,1,0,0,40,20,0
344,35,non_government,some_college, married,10,3,1,0,0,46,20,0
345,28,self_employed_incorporated,bachelors_degree,never_married,3,3,1,0,0,50,20,0
346,28,non_government,some_college,never_married,2,3,1,0,0,40,20,0
347,38,non_government,some_college, married,3,3,1,0,0,50,20,0
348,26,non_government,associates_degree_academic,never_married,7,2,0,0,0,15,20,0
349,57,self_employed_not_incorporated,some_college, married,11,3,1,0,0,50,20,0
350,56,non_government,some_college, married,6,3,1,0,0,50,20,0
351,44,non_government,associates_degree_academic,never_married,1,2,0,3591,0,50,20,0
352,57,non_government,masters_degree, married,1,3,1,0,0,60,20,1
353,59,self_employed_not_incorporated,bachelors_degree, married,3,3,1,46439,0,40,20,1
354,48,self_employed_incorporated,professional_degree, married,1,3,1,0,0,60,20,1
355,40,non_government,high_school, married,0,3,1,0,5332,45,20,0
356,34,non_government,masters_degree, married,0,3,1,0,0,40,20,0
357,43,government_federal,masters_degree, married,9,3,1,0,0,35,20,1
358,32,self_employed_not_incorporated,some_college, married,6,3,1,0,0,30,20,0
359,22,non_government,high_school, married,3,3,1,0,4940,40,20,0
360,56,non_government,some_college, divorced,7,3,0,0,0,50,20,0
361,39,non_government,some_college,never_married,6,3,0,0,0,40,20,0
362,55,self_employed_incorporated,some_college, married,3,3,1,0,0,40,20,1
363,39,non_government,masters_degree, married,1,3,1,0,0,40,20,1
364,23,non_government,some_college,never_married,10,2,0,0,0,20,26,0
365,27,government_local,associates_degree_vocational,never_married,5,3,0,0,0,38,20,0
366,41,non_government,high_school, divorced,6,3,0,0,0,40,20,0
367,68,non_government,high_school, married,9,3,1,0,0,24,20,0
368,19,non_government,high_school,never_married,7,3,1,0,0,30,20,0
369,48,non_government,high_school, widowed,2,3,0,0,0,32,20,0
370,25,non_government,high_school,never_married,4,3,1,0,0,65,20,0
371,28,non_government,high_school, married,6,3,1,0,0,35,22,0
372,26,government_local,bachelors_degree,never_married,5,3,1,0,0,40,20,0
373,37,non_government,some_college, married,0,3,1,0,0,40,20,0
374,43,non_government,some_college, divorced,10,3,1,0,0,40,20,0
375,50,self_employed_not_incorporated,associates_degree_academic, married,9,3,1,0,0,20,20,0
376,41,non_government,associates_degree_academic, married,0,3,0,0,0,50,20,1
377,23,government_state,bachelors_degree,never_married,1,3,0,0,0,40,20,0
378,30,non_government,bachelors_degree, married,2,3,0,0,0,40,27,0
379,27,non_government,some_college,never_married,4,2,1,0,0,50,20,0
380,25,non_government,high_school,never_married,7,3,0,0,0,25,20,0
381,30,non_government,high_school,never_married,7,3,0,0,0,40,20,0
382,35,government_state,some_college, divorced,2,3,0,0,0,15,20,0
383,26,non_government,high_school, married,0,3,1,0,0,40,20,0
384,41,non_government,bachelors_degree, married,5,3,1,0,5618,42,20,1
385,47,non_government,high_school, married,6,3,1,0,0,40,20,0
386,22,non_government,some_college,never_married,2,3,0,0,0,40,20,0
387,61,non_government,masters_degree, married,0,3,1,0,0,60,20,1
388,30,government_local,some_college,never_married,8,2,0,0,0,40,20,0
389,30,non_government,some_college,never_married,0,3,0,0,0,40,5,0
390,24,non_government,high_school,never_married,7,3,0,1752,0,15,20,0
391,31,self_employed_not_incorporated,high_school, married,6,3,1,0,0,45,20,0
392,42,non_government,bachelors_degree, married,3,3,1,0,0,40,20,1
393,55,non_government,some_college, divorced,5,3,0,0,0,40,20,0
394,35,non_government,bachelors_degree, married,3,3,0,0,0,30,20,1
395,39,non_government,masters_degree,never_married,0,3,1,0,6099,40,20,0
396,28,non_government,associates_degree_vocational, married,2,1,0,0,0,40,9,0
397,27,non_government,high_school,never_married,8,3,0,0,0,15,20,0
398,20,non_government,high_school,never_married,4,3,1,0,0,40,20,0
399,26,government_local,masters_degree,never_married,1,3,0,0,0,40,22,0
400,60,government_state,professional_degree, married,1,3,1,0,0,40,20,1
401,25,non_government,high_school,never_married,9,3,1,0,0,40,20,0
402,41,government_local,some_college, married,9,3,1,0,0,40,20,1
403,57,non_government,some_college, married,6,3,1,0,0,40,20,1
404,40,non_government,high_school, married,6,3,1,0,0,50,20,0
405,51,non_government,high_school, divorced,2,3,0,0,0,40,20,0
406,45,government_local,bachelors_degree,never_married,0,3,1,0,0,40,20,0
407,24,non_government,bachelors_degree, married,3,3,1,0,0,45,20,0
408,52,non_government,masters_degree, divorced,1,3,0,0,0,40,20,0
409,19,non_government,some_college,never_married,4,3,1,0,0,20,20,0
410,49,non_government,associates_degree_vocational, married,3,3,1,0,0,25,20,0
411,46,government_local,bachelors_degree,never_married,1,3,0,0,0,40,20,1
412,19,non_government,some_college,never_married,3,3,0,0,0,20,20,0
